    ,corruption,fold,wasserstein_distance
    50,jpeg_compression_1,0,26907.15203678787
    51,jpeg_compression_2,0,26907.15311148869
    52,jpeg_compression_3,0,26907.153484868908
    53,jpeg_compression_4,0,26907.15400920756
    54,jpeg_compression_5,0,26907.154495142535
    55,motion_blur_1,0,26907.173580856634
    56,motion_blur_2,0,26907.186024629453
    57,motion_blur_3,0,26907.19667674406
    58,motion_blur_4,0,26907.196486057273
    59,motion_blur_5,0,26907.205553909276
    60,pixelate_1,0,26907.155768871326
    61,pixelate_2,0,26907.159769225018
    62,pixelate_3,0,26907.16239786392
    63,pixelate_4,0,26907.17069426528
    64,pixelate_5,0,26907.174321781575
    65,saturate_1,0,26907.15768520889
    66,saturate_2,0,26907.14993149898
    67,saturate_3,0,26907.126097543798
    68,saturate_4,0,26907.099420778246
    69,saturate_5,0,26907.072093153245
    70,shot_noise_1,0,26907.15210718748
    71,shot_noise_2,0,26907.151399708982
    72,shot_noise_3,0,26907.148269209392
    73,shot_noise_4,0,26907.14652040452
    74,shot_noise_5,0,26907.143416283754
    75,snow_1,0,26907.128705585612
    76,snow_2,0,26907.096045453054
    77,snow_3,0,26907.083338058306
    78,snow_4,0,26907.045819270163
    79,snow_5,0,26906.99579954933
    80,spatter_1,0,26907.145882937115
    81,spatter_2,0,26907.135219823893
    82,spatter_3,0,26907.11716171262
    83,spatter_4,0,26907.142655957756
    84,spatter_5,0,26907.13805075908
    85,speckle_noise_1,0,26907.152951090768
    86,speckle_noise_2,0,26907.152003623876
    87,speckle_noise_3,0,26907.151203516376
    88,speckle_noise_4,0,26907.149049168333
    89,speckle_noise_5,0,26907.14639468422
    90,zoom_blur_1,0,26907.180616171343
    91,zoom_blur_2,0,26907.18641648079
    92,zoom_blur_3,0,26907.192600639148
    93,zoom_blur_4,0,26907.198199556045
    94,zoom_blur_5,0,26907.205812158707
    95,brightness_1,1,784.0719278441414
    96,brightness_2,1,784.1247499537918
    97,brightness_3,1,784.1388304490621
    98,brightness_4,1,784.1376601259676
    99,brightness_5,1,784.120407833324
    100,contrast_1,1,784.0786747004464
    101,contrast_2,1,784.1641323302205
    102,contrast_3,1,784.1873436900052
    103,contrast_4,1,784.2058328544077
    104,contrast_5,1,784.2235085194052
    105,defocus_blur_1,1,783.9452861677519
    106,defocus_blur_2,1,783.9527864845325
    107,defocus_blur_3,1,783.9586377061881
    108,defocus_blur_4,1,783.962129302501
    109,defocus_blur_5,1,783.9714369061129
    110,elastic_1,1,783.9423834938034
    111,elastic_2,1,783.9435456270036
    112,elastic_3,1,783.951805707503
    113,elastic_4,1,783.9546275509769
    114,elastic_5,1,783.9563673292544
    115,fog_1,1,784.1747116554776
    116,fog_2,1,784.2640457293937
    117,fog_3,1,784.3035883219078
    118,fog_4,1,784.3174106126165
    119,fog_5,1,784.3282417316826
    120,frost_1,1,784.1688306897446
    121,frost_2,1,784.168005784606
    122,frost_3,1,784.1844415730591
    123,frost_4,1,784.2025585251034
    124,frost_5,1,784.2280162848631
    125,frosted_glass_blur_1,1,783.953434468332
    126,frosted_glass_blur_2,1,783.9367606255552
    127,frosted_glass_blur_3,1,783.9420766250554
    128,frosted_glass_blur_4,1,783.9327104665981
