,Fold,Corruption,Severity,LogLikelihood
135,2,gaussian_noise,2,-3522.260009765625
136,2,gaussian_noise,3,-3544.154052734375
137,2,gaussian_noise,4,-3557.19873046875
138,2,gaussian_noise,5,-3571.59521484375
139,2,impulse_noise,1,-3519.740478515625
140,2,impulse_noise,2,-3546.181884765625
141,2,impulse_noise,3,-3572.9736328125
142,2,impulse_noise,4,-3621.4794921875
143,2,impulse_noise,5,-3662.131103515625
144,2,jpeg_compression,1,-3488.348876953125
145,2,jpeg_compression,2,-3488.154296875
146,2,jpeg_compression,3,-3488.229248046875
147,2,jpeg_compression,4,-3489.1552734375
148,2,jpeg_compression,5,-3489.751953125
149,2,motion_blur,1,-3515.2548828125
150,2,motion_blur,2,-3534.435302734375
151,2,motion_blur,3,-3553.614501953125
152,2,motion_blur,4,-3554.095947265625
153,2,motion_blur,5,-3575.05908203125
154,2,pixelate,1,-3495.516845703125
155,2,pixelate,2,-3498.930419921875
156,2,pixelate,3,-3502.71044921875
157,2,pixelate,4,-3510.37353515625
158,2,pixelate,5,-3520.48291015625
159,2,saturate,1,-3553.61669921875
160,2,saturate,2,-3566.8671875
161,2,saturate,3,-3446.0
162,2,saturate,4,-3376.206298828125
163,2,saturate,5,-3318.61083984375
164,2,shot_noise,1,-3499.560791015625
165,2,shot_noise,2,-3508.837646484375
166,2,shot_noise,3,-3534.8056640625
167,2,shot_noise,4,-3546.919189453125
168,2,shot_noise,5,-3571.52001953125
169,2,snow,1,-3496.447265625
170,2,snow,2,-3507.206787109375
171,2,snow,3,-3496.219482421875
172,2,snow,4,-3504.638916015625
173,2,snow,5,-3548.29150390625
174,2,spatter,1,-3488.443115234375
175,2,spatter,2,-3483.736328125
176,2,spatter,3,-3470.83837890625
177,2,spatter,4,-3465.33203125
178,2,spatter,5,-3454.943115234375
179,2,speckle_noise,1,-3500.520751953125
180,2,speckle_noise,2,-3517.679931640625
181,2,speckle_noise,3,-3528.97998046875
182,2,speckle_noise,4,-3553.897705078125
183,2,speckle_noise,5,-3584.1240234375
184,2,zoom_blur,1,-3518.7373046875
185,2,zoom_blur,2,-3517.644287109375
186,2,zoom_blur,3,-3521.8876953125
187,2,zoom_blur,4,-3523.56884765625
188,2,zoom_blur,5,-3530.81689453125
189,3,brightness,1,-5338.33349609375
190,3,brightness,2,-5350.21533203125
191,3,brightness,3,-5364.08154296875
192,3,brightness,4,-5377.607421875
193,3,brightness,5,-5396.427734375
194,3,contrast,1,-6449.12255859375
195,3,contrast,2,-8277.2080078125
196,3,contrast,3,-9210.5595703125
197,3,contrast,4,-10177.6259765625
198,3,contrast,5,-11402.2685546875
199,3,defocus_blur,1,-5378.38037109375
200,3,defocus_blur,2,-5449.65771484375
201,3,defocus_blur,3,-5509.5498046875
202,3,defocus_blur,4,-5548.138671875
203,3,defocus_blur,5,-5650.37060546875
204,3,elastic,1,-5477.03125
205,3,elastic,2,-5487.58740234375
