,Fold,Corruption,Severity,LogLikelihood
156,2,pixelate,2,-75384.54
157,2,pixelate,3,-74261.35
158,2,pixelate,4,-74832.836
159,2,pixelate,5,-77887.9
160,2,saturate,1,-61728.973
161,2,saturate,2,-57284.76
162,2,saturate,3,-79085.43
163,2,saturate,4,-82367.664
164,2,saturate,5,-82774.45
165,2,shot_noise,1,-73472.68
166,2,shot_noise,2,-72877.89
167,2,shot_noise,3,-71131.695
168,2,shot_noise,4,-70200.96
169,2,shot_noise,5,-68729.61
170,2,snow,1,-71836.49
171,2,snow,2,-68577.375
172,2,snow,3,-69573.26
173,2,snow,4,-63862.668
174,2,snow,5,-64720.402
175,2,spatter,1,-74720.695
176,2,spatter,2,-73967.76
177,2,spatter,3,-72663.29
178,2,spatter,4,-66901.38
179,2,spatter,5,-64673.676
180,2,speckle_noise,1,-73338.09
181,2,speckle_noise,2,-72310.01
182,2,speckle_noise,3,-71164.195
183,2,speckle_noise,4,-69467.414
184,2,speckle_noise,5,-67512.125
185,2,zoom_blur,1,-77741.69
186,2,zoom_blur,2,-78243.65
187,2,zoom_blur,3,-78721.05
188,2,zoom_blur,4,-78923.16
189,2,zoom_blur,5,-79050.02
190,3,brightness,1,-68596.35
191,3,brightness,2,-67513.586
192,3,brightness,3,-66283.56
193,3,brightness,4,-64992.73
194,3,brightness,5,-62199.902
195,3,contrast,1,-61489.715
196,3,contrast,2,-48355.355
197,3,contrast,3,-41056.082
198,3,contrast,4,-32692.236
199,3,contrast,5,-19964.543
200,3,defocus_blur,1,-69839.516
201,3,defocus_blur,2,-70553.22
202,3,defocus_blur,3,-71090.445
203,3,defocus_blur,4,-71447.82
204,3,defocus_blur,5,-72054.38
205,3,elastic,1,-67830.71
206,3,elastic,2,-68601.42
207,3,elastic,3,-69500.77
208,3,elastic,4,-70001.06
209,3,elastic,5,-70125.79
210,3,fog,1,-69551.08
211,3,fog,2,-69527.695
212,3,fog,3,-70943.5
213,3,fog,4,-69118.99
214,3,fog,5,-69879.74
215,3,frost,1,-65598.9
216,3,frost,2,-62509.902
217,3,frost,3,-61575.7
218,3,frost,4,-62764.37
219,3,frost,5,-63136.1
220,3,frosted_glass_blur,1,-69365.305
221,3,frosted_glass_blur,2,-69656.1
222,3,frosted_glass_blur,3,-70871.4
223,3,frosted_glass_blur,4,-69418.484
224,3,frosted_glass_blur,5,-70421.98
225,3,gaussian_blur,1,-69846.64
226,3,gaussian_blur,2,-71165.88
227,3,gaussian_blur,3,-71599.59
228,3,gaussian_blur,4,-71955.805
229,3,gaussian_blur,5,-72508.91
230,3,gaussian_noise,1,-68291.06
231,3,gaussian_noise,2,-66958.555
232,3,gaussian_noise,3,-65702.04
233,3,gaussian_noise,4,-64688.734
234,3,gaussian_noise,5,-63781.445
235,3,impulse_noise,1,-67520.96
236,3,impulse_noise,2,-65948.71
237,3,impulse_noise,3,-64347.28
238,3,impulse_noise,4,-61257.547
239,3,impulse_noise,5,-58894.406
240,3,jpeg_compression,1,-69269.445
241,3,jpeg_compression,2,-69245.195
242,3,jpeg_compression,3,-69244.69
243,3,jpeg_compression,4,-69294.016
244,3,jpeg_compression,5,-69426.805
245,3,motion_blur,1,-70423.45
246,3,motion_blur,2,-70829.66
247,3,motion_blur,3,-70916.914
248,3,motion_blur,4,-70708.8
249,3,motion_blur,5,-70407.195
250,3,pixelate,1,-68991.836
251,3,pixelate,2,-70122.65
252,3,pixelate,3,-69575.96
253,3,pixelate,4,-70077.68
254,3,pixelate,5,-70999.17
255,3,saturate,1,-62596.36
256,3,saturate,2,-59547.55
257,3,saturate,3,-70903.14
258,3,saturate,4,-71027.375
259,3,saturate,5,-70318.49
260,3,shot_noise,1,-68518.414
261,3,shot_noise,2,-67916.25
262,3,shot_noise,3,-66167.04
263,3,shot_noise,4,-65355.277
264,3,shot_noise,5,-63733.797
265,3,snow,1,-67321.55
266,3,snow,2,-64730.086
267,3,snow,3,-65842.93
268,3,snow,4,-60298.707
269,3,snow,5,-61855.71
270,3,spatter,1,-69629.95
271,3,spatter,2,-68874.05
272,3,spatter,3,-67731.63
273,3,spatter,4,-63088.43
274,3,spatter,5,-60557.03
275,3,speckle_noise,1,-68360.766
276,3,speckle_noise,2,-67235.984
277,3,speckle_noise,3,-66277.35
278,3,speckle_noise,4,-64503.58
279,3,speckle_noise,5,-62614.043
280,3,zoom_blur,1,-72340.48
281,3,zoom_blur,2,-72600.53
282,3,zoom_blur,3,-72940.445
283,3,zoom_blur,4,-72959.82
284,3,zoom_blur,5,-72935.8
285,4,brightness,1,-95342.62
286,4,brightness,2,-94348.305
287,4,brightness,3,-93118.02
288,4,brightness,4,-91660.23
289,4,brightness,5,-88320.8
290,4,contrast,1,-84824.17
291,4,contrast,2,-65898.32
292,4,contrast,3,-55401.934
293,4,contrast,4,-43504.47
294,4,contrast,5,-25749.793
295,4,defocus_blur,1,-96654.04
296,4,defocus_blur,2,-97712.37
297,4,defocus_blur,3,-98496.03
298,4,defocus_blur,4,-99002.26
299,4,defocus_blur,5,-99875.1
300,4,elastic,1,-94652.97
301,4,elastic,2,-95276.66
302,4,elastic,3,-96287.34
303,4,elastic,4,-96928.125
304,4,elastic,5,-97064.22
305,4,fog,1,-95952.01
306,4,fog,2,-95367.15
307,4,fog,3,-96402.39
308,4,fog,4,-91861.016
309,4,fog,5,-92458.97
310,4,frost,1,-91287.17
311,4,frost,2,-86905.125
312,4,frost,3,-86013.96
313,4,frost,4,-87654.71
314,4,frost,5,-88456.24
315,4,frosted_glass_blur,1,-96423.016
316,4,frosted_glass_blur,2,-96730.234
317,4,frosted_glass_blur,3,-98560.22
318,4,frosted_glass_blur,4,-96735.734
319,4,frosted_glass_blur,5,-98299.77
320,4,gaussian_blur,1,-96656.76
321,4,gaussian_blur,2,-98570.96
322,4,gaussian_blur,3,-99178.305
323,4,gaussian_blur,4,-99657.484
324,4,gaussian_blur,5,-100359.586
325,4,gaussian_noise,1,-94435.8
326,4,gaussian_noise,2,-92555.52
327,4,gaussian_noise,3,-90680.76
328,4,gaussian_noise,4,-89487.55
329,4,gaussian_noise,5,-88086.74
330,4,impulse_noise,1,-93108.62
331,4,impulse_noise,2,-90879.92
332,4,impulse_noise,3,-88293.95
333,4,impulse_noise,4,-83677.22
334,4,impulse_noise,5,-79965.6
335,4,jpeg_compression,1,-95794.086
336,4,jpeg_compression,2,-95796.55
337,4,jpeg_compression,3,-95766.96
338,4,jpeg_compression,4,-95892.09
339,4,jpeg_compression,5,-95951.76
340,4,motion_blur,1,-97625.65
341,4,motion_blur,2,-98467.19
342,4,motion_blur,3,-98496.64
343,4,motion_blur,4,-98353.664
344,4,motion_blur,5,-97906.04
345,4,pixelate,1,-95597.664
346,4,pixelate,2,-96589.21
347,4,pixelate,3,-95891.66
348,4,pixelate,4,-97144.96
349,4,pixelate,5,-98426.39
350,4,saturate,1,-83309.61
351,4,saturate,2,-78178.67
352,4,saturate,3,-99589.67
353,4,saturate,4,-102648.73
354,4,saturate,5,-103557.984
355,4,shot_noise,1,-94837.164
356,4,shot_noise,2,-93869.234
357,4,shot_noise,3,-91408.61
358,4,shot_noise,4,-90182.734
359,4,shot_noise,5,-87842.04
360,4,snow,1,-93116.266
361,4,snow,2,-89251.68
362,4,snow,3,-91204.67
363,4,snow,4,-82616.43
364,4,snow,5,-82752.28
365,4,spatter,1,-96552.195
366,4,spatter,2,-95729.06
367,4,spatter,3,-93259.01
368,4,spatter,4,-86935.84
369,4,spatter,5,-83341.234
370,4,speckle_noise,1,-94570.98
371,4,speckle_noise,2,-93044.055
372,4,speckle_noise,3,-91659.914
373,4,speckle_noise,4,-89104.41
374,4,speckle_noise,5,-86288.305
375,4,zoom_blur,1,-100365.27
376,4,zoom_blur,2,-100843.09
377,4,zoom_blur,3,-101442.39
378,4,zoom_blur,4,-101623.19
379,4,zoom_blur,5,-101600.5
380,5,brightness,1,-67896.54
381,5,brightness,2,-67481.12
382,5,brightness,3,-66894.6
383,5,brightness,4,-66221.8
384,5,brightness,5,-64451.99
385,5,contrast,1,-60723.46
386,5,contrast,2,-47306.234
387,5,contrast,3,-39822.977
388,5,contrast,4,-31329.748
389,5,contrast,5,-18268.928
390,5,defocus_blur,1,-68515.06
391,5,defocus_blur,2,-69040.484
392,5,defocus_blur,3,-69412.82
393,5,defocus_blur,4,-69668.305
394,5,defocus_blur,5,-70037.98
